date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:11:23	135/135	---MC-	200	added ('OK')	text/plain	date:Sat,%2013%20Apr%202024%2016:11:23%20GMT	https://dennissnellenberg.com/robots.txt		(from )
21:11:23	39146/39146	---M-Z	200	added ('OK')	text/html	date:Sat,%2013%20Apr%202024%2016:11:23%20GMT	https://dennissnellenberg.com/	F:/website%20templates/sdsfsf/portfolio/dennissnellenberg.com/index.html	(from )
21:11:24	23728/23728	---M--	200	added ('OK')	image/jpeg	etag:%225cb0-5d9cbd42651b8%22	https://dennissnellenberg.com/media/site/89d468b455-1646837228/meta-image-dennis-snellenberg-860x540-crop-q72.jpg	F:/website%20templates/sdsfsf/portfolio/dennissnellenberg.com/media/site/89d468b455-1646837228/meta-image-dennis-snellenberg-860x540-crop-q72.jpg	(from https://dennissnellenberg.com/)
21:11:26	7772/7772	---M--	200	added ('OK')	text/css	etag:%221e5c-5d9ca3289c2d0%22	https://dennissnellenberg.com/assets/css/normalize.css	F:/website%20templates/sdsfsf/portfolio/dennissnellenberg.com/assets/css/normalize.css	(from https://dennissnellenberg.com/)
21:11:26	40516/40516	---M--	200	added ('OK')	application/x-font-otf	etag:%229e44-5d9ca3360c1ac%22	https://dennissnellenberg.com/assets/fonts/NeueMontreal-Regular.otf	F:/website%20templates/sdsfsf/portfolio/dennissnellenberg.com/assets/fonts/NeueMontreal-Regular.otf	(from https://dennissnellenberg.com/)
21:11:27	1664/1664	---M--	200	added ('OK')	text/css	etag:%22680-5d9ca328b3db7%22	https://dennissnellenberg.com/assets/css/locomotive-scroll.css	F:/website%20templates/sdsfsf/portfolio/dennissnellenberg.com/assets/css/locomotive-scroll.css	(from https://dennissnellenberg.com/)
21:11:28	28166/28166	---M--	200	added ('OK')	text/css	etag:%226e06-5dedfca89ffd2%22	https://dennissnellenberg.com/assets/css/styleguide.css	F:/website%20templates/sdsfsf/portfolio/dennissnellenberg.com/assets/css/styleguide.css	(from https://dennissnellenberg.com/)
21:11:28	2544/2544	---M--	200	added ('OK')	text/css	etag:%229f0-5d9ca32880d50%22	https://dennissnellenberg.com/assets/css/components.css	F:/website%20templates/sdsfsf/portfolio/dennissnellenberg.com/assets/css/components.css	(from https://dennissnellenberg.com/)
21:11:31	40959/40959	---M--	200	added ('OK')	image/jpeg	etag:%229fff-614c867df37c4%22	https://dennissnellenberg.com/media/pages/work/twice/0ab7e43954-1710404752/thumbnail-twice-810x810-crop-q72.jpg	F:/website%20templates/sdsfsf/portfolio/dennissnellenberg.com/media/pages/work/twice/0ab7e43954-1710404752/thumbnail-twice-810x810-crop-q72.jpg	(from https://dennissnellenberg.com/)
21:11:31	76047/76047	---M--	200	added ('OK')	text/css	etag:%221290f-613a5cc86ffee%22	https://dennissnellenberg.com/assets/css/style-new.css	F:/website%20templates/sdsfsf/portfolio/dennissnellenberg.com/assets/css/style-new.css	(from https://dennissnellenberg.com/)
